Scenario,c.V,c.D,c.w,c.Rmax,c.m,s.V,s.D,s.w,s.Rmax,s.m,m.V,m.D,m.w,m.Rmax,m.m,iter,reserve
1,0,0,1.5,1.5,0.1,0,0,4.5,1.5,0.1,0,0,2,1,0.3,1,0.3
2,0.001,0,1.5,1.5,0.1,0.001,0,4.5,1.5,0.1,0,0,2,1,0.3,1,0.3
3,0.005,0,1.5,1.5,0.1,0.005,0,4.5,1.5,0.1,0,0,2,1,0.3,1,0.3
4,0.01,0,1.5,1.5,0.1,0.01,0,4.5,1.5,0.1,0,0,2,1,0.3,1,0.3
5,0.05,0,1.5,1.5,0.1,0.05,0,4.5,1.5,0.1,0,0,2,1,0.3,1,0.3
6,0.1,0,1.5,1.5,0.1,0.1,0,4.5,1.5,0.1,0,0,2,1,0.3,1,0.3
7,0.2,0,1.5,1.5,0.1,0.2,0,4.5,1.5,0.1,0,0,2,1,0.3,1,0.3
8,0.3,0,1.5,1.5,0.1,0.3,0,4.5,1.5,0.1,0,0,2,1,0.3,1,0.3
9,0.4,0,1.5,1.5,0.1,0.4,0,4.5,1.5,0.1,0,0,2,1,0.3,1,0.3
10,0,0.01,1.5,1.5,0.1,0,0.01,4.5,1.5,0.1,0,0,2,1,0.3,1,0.3
11,0.001,0.01,1.5,1.5,0.1,0.001,0.01,4.5,1.5,0.1,0,0,2,1,0.3,1,0.3
12,0.005,0.01,1.5,1.5,0.1,0.005,0.01,4.5,1.5,0.1,0,0,2,1,0.3,1,0.3
13,0.01,0.01,1.5,1.5,0.1,0.01,0.01,4.5,1.5,0.1,0,0,2,1,0.3,1,0.3
14,0.05,0.01,1.5,1.5,0.1,0.05,0.01,4.5,1.5,0.1,0,0,2,1,0.3,1,0.3
15,0.1,0.01,1.5,1.5,0.1,0.1,0.01,4.5,1.5,0.1,0,0,2,1,0.3,1,0.3
16,0.2,0.01,1.5,1.5,0.1,0.2,0.01,4.5,1.5,0.1,0,0,2,1,0.3,1,0.3
17,0.3,0.01,1.5,1.5,0.1,0.3,0.01,4.5,1.5,0.1,0,0,2,1,0.3,1,0.3
18,0.4,0.01,1.5,1.5,0.1,0.4,0.01,4.5,1.5,0.1,0,0,2,1,0.3,1,0.3
19,0,0.001,1.5,1.5,0.1,0,0.001,4.5,1.5,0.1,0,0,2,1,0.3,1,0.3
20,0.001,0.001,1.5,1.5,0.1,0.001,0.001,4.5,1.5,0.1,0,0,2,1,0.3,1,0.3
21,0.005,0.001,1.5,1.5,0.1,0.005,0.001,4.5,1.5,0.1,0,0,2,1,0.3,1,0.3
22,0.01,0.001,1.5,1.5,0.1,0.01,0.001,4.5,1.5,0.1,0,0,2,1,0.3,1,0.3
23,0.05,0.001,1.5,1.5,0.1,0.05,0.001,4.5,1.5,0.1,0,0,2,1,0.3,1,0.3
24,0.1,0.001,1.5,1.5,0.1,0.1,0.001,4.5,1.5,0.1,0,0,2,1,0.3,1,0.3
25,0.2,0.001,1.5,1.5,0.1,0.2,0.001,4.5,1.5,0.1,0,0,2,1,0.3,1,0.3
26,0.3,0.001,1.5,1.5,0.1,0.3,0.001,4.5,1.5,0.1,0,0,2,1,0.3,1,0.3
27,0.4,0.001,1.5,1.5,0.1,0.4,0.001,4.5,1.5,0.1,0,0,2,1,0.3,1,0.3
